Date;RAU006.ERR_TE_MW;RAU007.ERR_TE_MW;RAU006_LI_JAL.read_JAL1_IW;RAU006_LI_JAL.read_JAL1_L_IW;RAU006_LI_JAL.read_JAL2_IW;RAU006_LI_JAL.read_JAL2_L_IW;RAU007_LI_JAL.read_JAL1_IW;RAU007_LI_JAL.read_JAL1_L_IW;RAU007_LI_JAL.read_JAL2_IW;RAU007_LI_JAL.read_JAL2_L_IW;MSR02_WST_ALLG.akt_Lufttemperatur;MSR01_AUS_TE_FG.UBZ;MSR01_AUS_TE_FG.Auto;MSR01_AUS_TE_FG.SOM;MSR01_AUS_TE_FG.WIN;MSR01_AUS_TE_FG.LockErr;MSR01_AUS_TE_FG.Sommerbetrieb;MSR01_AUS_TE_FG.Winterbetrieb;MSR01_AUS_TE_FG.Uebergangsbetrieb
;TE06 Büro- Raumregelung: Einzelraumregler Temperatur Messwert, [°C];TE07 Büro- Raumregelung: Einzelraumregler Temperatur Messwert, [°C];TE06 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 1 Stellung [%];TE06 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 1 Lamellen Stellung [%];TE06 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 2 Stellung [%];TE06 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 2 Lamellen Stellung [%];TE07 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 1 Stellung [%];TE07 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 1 Lamellen Stellung [%];TE07 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 2 Stellung [%];TE07 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 2 Lamellen Stellung [%];MSR02 Wetterstation ALlgemein: aktuelle Lufttemperatur [°C];Aussen Temperatur Freigabe: Übergangszeit Manuel;Aussen Temperatur Freigabe: Automatik Betrieb;Aussen Temperatur Freigabe: Sommerbetrieb Manuel;Aussen Temperatur Freigabe: Winterbetrieb Manuel;Aussen Temperatur Freigabe: Störungen sperren;Aussen Temperatur Freigabe: Sommerbetrieb;Aussen Temperatur Freigabe: Winterbetrieb;Aussen Temperatur Freigabe: Übergangbetrieb
;;;;;;;;;;;;;;;;;;;
03.03.2025 00:00:00,000;23,3817560350352;23,2718894009217;1;0;0;0;0;0;0;0;1,39999997615814;0;1;0;0;0;0;1;0
03.03.2025 00:01:00,000;23,3695486312449;23,2596819971313;1;0;0;0;0;0;0;0;1,39999997615814;0;1;0;0;0;0;1;0
03.03.2025 00:02:00,000;23,3573412274545;23,2718894009217;1;0;0;0;0;0;0;0;1,5;0;1;0;0;0;0;1;0
03.03.2025 00:03:00,000;23,3573412274545;23,2718894009217;1;0;0;0;0;0;0;0;1,5;0;1;0;0;0;0;1;0
03.03.2025 00:04:00,000;23,3695486312449;23,2718894009217;1;0;0;0;0;0;0;0;1,5;0;1;0;0;0;0;1;0
03.03.2025 00:05:00,000;23,3573412274545;23,2596819971313;1;0;0;0;0;0;0;0;1,5;0;1;0;0;0;0;1;0
03.03.2025 00:06:00,000;23,3695486312449;23,2596819971313;1;0;0;0;0;0;0;0;1,60000002384186;0;1;0;0;0;0;1;0
03.03.2025 00:07:00,000;23,3451338236641;23,2474745933409;1;0;0;0;0;0;0;0;1,70000004768372;0;1;0;0;0;0;1;0
03.03.2025 00:08:00,000;23,3451338236641;23,2596819971313;1;0;0;0;0;0;0;0;1,70000004768372;0;1;0;0;0;0;1;0
03.03.2025 00:09:00,000;23,3329264198737;23,2352671895505;1;0;0;0;0;0;0;0;1,79999995231628;0;1;0;0;0;0;1;0
03.03.2025 00:10:00,000;23,3329264198737;23,2474745933409;1;0;0;0;0;0;0;0;1,89999997615814;0;1;0;0;0;0;1;0
03.03.2025 00:11:00,000;23,3573412274545;23,2596819971313;1;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0
03.03.2025 00:12:00,000;23,3329264198737;23,2352671895505;1;0;0;0;0;0;0;0;1,89999997615814;0;1;0;0;0;0;1;0
03.03.2025 00:13:00,000;23,3329264198737;23,2474745933409;1;0;0;0;0;0;0;0;1,89999997615814;0;1;0;0;0;0;1;0
