Date;TE06 BÇ¬ro- Raumregelung: Einzelraumregler Temperatur Messwert. [¶øC];TE07 BÇ¬ro- Raumregelung: Einzelraumregler Temperatur Messwert. [¶øC];TE06 BÇ¬ro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 1 Stellung [%];TE06 BÇ¬ro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 1 Lamellen Stellung [%];TE06 BÇ¬ro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 2 Stellung [%];TE06 BÇ¬ro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 2 Lamellen Stellung [%];TE07 BÇ¬ro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 1 Stellung [%];TE07 BÇ¬ro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 1 Lamellen Stellung [%];TE07 BÇ¬ro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 2 Stellung [%];TE07 BÇ¬ro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 2 Lamellen Stellung [%];MSR02 Wetterstation ALlgemein: aktuelle Lufttemperatur [¶øC];Aussen Temperatur Freigabe: Ç?bergangszeit Manuel;Aussen Temperatur Freigabe: Automatik Betrieb;Aussen Temperatur Freigabe: Sommerbetrieb Manuel;Aussen Temperatur Freigabe: Winterbetrieb Manuel;Aussen Temperatur Freigabe: StÇôrungen sperren;Aussen Temperatur Freigabe: Sommerbetrieb;Aussen Temperatur Freigabe: Winterbetrieb;Aussen Temperatur Freigabe: Ç?bergangbetrieb
00.01.1900 00:00;2.338.175.604;232.718.894;1;0;0;0;0;0;0;0;1.399.999.976;0;1;0;0;0;0;1;0
00.01.1900 00:01;2.336.954.863;23.259.682;1;0;0;0;0;0;0;0;1.399.999.976;0;1;0;0;0;0;1;0
00.01.1900 00:02;2.335.734.123;232.718.894;1;0;0;0;0;0;0;0;01. Mai;0;1;0;0;0;0;1;0
00.01.1900 00:03;2.335.734.123;232.718.894;1;0;0;0;0;0;0;0;01. Mai;0;1;0;0;0;0;1;0
00.01.1900 00:04;2.336.954.863;232.718.894;1;0;0;0;0;0;0;0;01. Mai;0;1;0;0;0;0;1;0
00.01.1900 00:05;2.335.734.123;23.259.682;1;0;0;0;0;0;0;0;01. Mai;0;1;0;0;0;0;1;0
00.01.1900 00:06;2.336.954.863;23.259.682;1;0;0;0;0;0;0;0;1.600.000.024;0;1;0;0;0;0;1;0
00.01.1900 00:07;2.334.513.382;2.324.747.459;1;0;0;0;0;0;0;0;1.700.000.048;0;1;0;0;0;0;1;0
00.01.1900 00:08;2.334.513.382;23.259.682;1;0;0;0;0;0;0;0;1.700.000.048;0;1;0;0;0;0;1;0
00.01.1900 00:09;2.333.292.642;2.323.526.719;1;0;0;0;0;0;0;0;1.799.999.952;0;1;0;0;0;0;1;0
00.01.1900 00:10;2.333.292.642;2.324.747.459;1;0;0;0;0;0;0;0;1.899.999.976;0;1;0;0;0;0;1;0
00.01.1900 00:11;2.335.734.123;23.259.682;1;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0
