Date;TE06 Büro- Raumregelung: Einzelraumregler Temperatur Messwert. [°C];TE07 Büro- Raumregelung: Einzelraumregler Temperatur Messwert. [°C];TE06 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 1 Stellung [%];TE06 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 1 Lamellen Stellung [%];TE06 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 2 Stellung [%];TE06 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 2 Lamellen Stellung [%];TE07 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 1 Stellung [%];TE07 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 1 Lamellen Stellung [%];TE07 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 2 Stellung [%];TE07 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 2 Lamellen Stellung [%];MSR02 Wetterstation ALlgemein: aktuelle Lufttemperatur [°C];Aussen Temperatur Freigabe: Übergangszeit Manuel;Aussen Temperatur Freigabe: Automatik Betrieb;Aussen Temperatur Freigabe: Sommerbetrieb Manuel;Aussen Temperatur Freigabe: Winterbetrieb Manuel;Aussen Temperatur Freigabe: Störungen sperren;Aussen Temperatur Freigabe: Sommerbetrieb;Aussen Temperatur Freigabe: Winterbetrieb;Aussen Temperatur Freigabe: Übergangbetrieb
00:00,0;2.338.175.604;232.718.894;1;0;0;0;0;0;0;0;1.399.999.976;0;1;0;0;0;0;1;0
01:00,0;2.336.954.863;23.259.682;1;0;0;0;0;0;0;0;1.399.999.976;0;1;0;0;0;0;1;0
02:00,0;2.335.734.123;232.718.894;1;0;0;0;0;0;0;0;01. Mai;0;1;0;0;0;0;1;0
03:00,0;2.335.734.123;232.718.894;1;0;0;0;0;0;0;0;01. Mai;0;1;0;0;0;0;1;0
04:00,0;2.336.954.863;232.718.894;1;0;0;0;0;0;0;0;01. Mai;0;1;0;0;0;0;1;0
05:00,0;2.335.734.123;23.259.682;1;0;0;0;0;0;0;0;01. Mai;0;1;0;0;0;0;1;0
06:00,0;2.336.954.863;23.259.682;1;0;0;0;0;0;0;0;1.600.000.024;0;1;0;0;0;0;1;0
07:00,0;2.334.513.382;2.324.747.459;1;0;0;0;0;0;0;0;1.700.000.048;0;1;0;0;0;0;1;0
08:00,0;2.334.513.382;23.259.682;1;0;0;0;0;0;0;0;1.700.000.048;0;1;0;0;0;0;1;0
09:00,0;2.333.292.642;2.323.526.719;1;0;0;0;0;0;0;0;1.799.999.952;0;1;0;0;0;0;1;0
10:00,0;2.333.292.642;2.324.747.459;1;0;0;0;0;0;0;0;1.899.999.976;0;1;0;0;0;0;1;0
11:00,0;2.335.734.123;23.259.682;1;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0
12:00,0;2.333.292.642;2.323.526.719;1;0;0;0;0;0;0;0;1.899.999.976;0;1;0;0;0;0;1;0
13:00,0;2.333.292.642;2.324.747.459;1;0;0;0;0;0;0;0;1.899.999.976;0;1;0;0;0;0;1;0
14:00,0;2.333.292.642;2.324.747.459;1;0;0;0;0;0;0;0;1.899.999.976;0;1;0;0;0;0;1;0
15:00,0;2.334.513.382;2.322.305.979;1;0;0;0;0;0;0;0;1.899.999.976;0;1;0;0;0;0;1;0
16:00,0;2.329.630.421;2.324.747.459;1;0;0;0;0;0;0;0;1.899.999.976;0;1;0;0;0;0;1;0
17:00,0;2.332.071.902;2.323.526.719;1;0;0;0;0;0;0;0;1.799.999.952;0;1;0;0;0;0;1;0
18:00,0;232.840.968;2.324.747.459;1;0;0;0;0;0;0;0;1.799.999.952;0;1;0;0;0;0;1;0
19:00,0;2.332.071.902;2.322.305.979;1;0;0;0;0;0;0;0;1.799.999.952;0;1;0;0;0;0;1;0
20:00,0;2.332.071.902;2.322.305.979;1;0;0;0;0;0;0;0;1.799.999.952;0;1;0;0;0;0;1;0
21:00,0;232.840.968;2.322.305.979;1;0;0;0;0;0;0;0;1.799.999.952;0;1;0;0;0;0;1;0
22:00,0;2.329.630.421;2.321.085.238;1;0;0;0;0;0;0;0;1.799.999.952;0;1;0;0;0;0;1;0
23:00,0;232.718.894;2.322.305.979;1;0;0;0;0;0;0;0;1.899.999.976;0;1;0;0;0;0;1;0
24:00,0;2.329.630.421;2.322.305.979;1;0;0;0;0;0;0;0;1.899.999.976;0;1;0;0;0;0;1;0
25:00,0;232.840.968;2.321.085.238;1;0;0;0;0;0;0;0;1.899.999.976;0;1;0;0;0;0;1;0
