Datum;TE06 Büro- Raumregelung: Einzelraumregler Temperatur Messwert, [°C];TE06 Büro- Raumregelung: Einzelraumregler Temperatur Sollwert, [°C];TE06 Büro- Raumregelung: Fensterkontakt: Fensterkontakt Kippflügel;TE06 Büro- Raumregelung: Fensterkontakt: Fensterkontakt Drehflügel;TE06 Büro- Raumregelung: Fensterkontakt: Fenster gescholssen;TE06 Büro- Raumregelung: Fensterkontakt: Fenster geoeffnet;TE06 Büro- Raumregelung: Fensterkontakt: Fenster gekippt;TE06 Büro- Raumregelung: Fensterkontakt: Fensterkontakt unzulaessiger Zustnad;TE06 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 1 Stellung [%];TE06 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 1 Lamellen Stellung [%];TE06 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 2 Stellung [%];TE06 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 2 Lamellen Stellung [%];TE07 Büro- Raumregelung: Einzelraumregler Temperatur Messwert, [°C];TE07 Büro- Raumregelung: Einzelraumregler Temperatur Sollwert, [°C];TE07 Büro- Raumregelung: Fensterkontakt: Fensterkontakt Kippflügel;TE07 Büro- Raumregelung: Fensterkontakt: Fensterkontakt Drehflügel;TE07 Büro- Raumregelung: Fensterkontakt: Fenster gescholssen;TE07 Büro- Raumregelung: Fensterkontakt: Fenster geoeffnet;TE07 Büro- Raumregelung: Fensterkontakt: Fenster gekippt;TE07 Büro- Raumregelung: Fensterkontakt: Fensterkontakt unzulaessiger Zustnad;TE07 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 1 Stellung [%];TE07 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 1 Lamellen Stellung [%];TE07 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 2 Stellung [%];TE07 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Jalusie 2 Lamellen Stellung [%];MSR02 Wetterstation ALlgemein: aktuelle Lufttemperatur [°C];TE06 Büro Vorregelung: Berechnete Leistung [W], BEACHTE: Durchfluss nur über Ventil-Sekundär-Primär gemessen!;TE07 Büro Vorregelung: Berechnete Leistung [W], BEACHTE: Durchfluss nur über Ventil-Sekundär-Primär gemessen!;Aussen Temperatur Freigabe: Übergangszeit Manuel;Aussen Temperatur Freigabe: Automatik Betrieb;Aussen Temperatur Freigabe: Sommerbetrieb Manuel;Aussen Temperatur Freigabe: Winterbetrieb Manuel;Aussen Temperatur Freigabe: Störungen sperren;Aussen Temperatur Freigabe: Sommerbetrieb;Aussen Temperatur Freigabe: Winterbetrieb;Aussen Temperatur Freigabe: Übergangbetrieb;TE06 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Bewegungsmelder Betriebsmeldung;TE07 Büro- Licht Jalousie Bus- Kommunikation mit CodeSys: Bewegungsmelder Betriebsmeldung;MSR02 Wetterstation Luxmeter 0 - 120klux: Analoges Luxmeter [lux]: Messung
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.03.2025 00:00:00,000;23,2840968047121;23;0;0;1;1;0;0;1;0;0;0;23,2230597857601;23;0;1;1;0;0;0;0;0;0;0;1,89999997615814;0;0;0;1;0;0;0;0;1;0;0;0;146,488845484787
03.03.2025 00:30:00,000;23,2108523819697;23;0;0;1;1;0;0;1;0;0;0;23,1376079592273;23;0;1;1;0;0;0;0;0;0;0;2,09999990463257;0;0;0;1;0;0;0;0;1;0;0;0;146,488845484787
03.03.2025 01:00:00,000;23,1131931516465;23;0;0;1;1;0;0;1;0;0;0;23,0399487289041;23;0;1;1;0;0;0;0;0;0;0;1,79999995231628;0;0;0;1;0;0;0;0;1;0;0;0;146,488845484787
03.03.2025 01:30:00,000;23,0521561326945;23;0;0;1;1;0;0;1;0;0;0;22,9544969023713;23;0;1;1;0;0;0;0;0;0;0;1,89999997615814;0;0;0;1;0;0;0;0;1;0;0;0;146,488845484787
03.03.2025 02:00:00,000;22,9667043061617;23;0;0;1;1;0;0;1;0;0;0;22,8690450758385;23;0;1;1;0;0;0;0;0;0;0;2,29999995231628;0;0;0;1;0;0;0;0;1;0;0;0;87,8933072908719
03.03.2025 02:30:00,000;22,8934598834193;23;0;0;1;1;0;0;1;0;0;0;22,8202154606769;23;0;1;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;146,488845484787
03.03.2025 03:00:00,000;22,8324228644673;23;0;0;1;1;0;0;1;0;0;0;22,9544969023713;23;0;1;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;146,488845484787
03.03.2025 03:30:00,000;22,7835932493057;23;0;0;1;1;0;0;1;0;0;0;22,7713858455153;23;0;1;1;0;0;0;0;0;0;0;2,09999990463257;0;50,8542883165153;0;1;0;0;0;0;1;0;0;0;146,488845484787
03.03.2025 04:00:00,000;22,8934598834193;23;0;0;1;1;0;0;1;0;0;0;22,8080080568865;23;0;1;1;0;0;0;0;0;0;0;1,79999995231628;0;0;0;1;0;0;0;0;1;0;0;0;146,488845484787
03.03.2025 04:30:00,000;22,8202154606769;23;0;0;1;1;0;0;1;0;0;0;22,9300820947905;23;0;1;1;0;0;0;0;0;0;0;2,20000004768372;24,7508011881511;0;0;1;0;0;0;0;1;0;0;0;146,488845484787
03.03.2025 05:00:00,000;22,8202154606769;23;0;0;1;1;0;0;1;0;0;0;22,8568376720481;23;0;1;1;0;0;0;0;0;0;0;1,89999997615814;0;321,161105224609;0;1;0;0;0;0;1;0;0;0;146,488845484787
03.03.2025 05:30:00,000;22,9300820947905;23;0;0;1;1;0;0;1;0;0;0;22,7958006530961;23;0;1;1;0;0;0;0;0;0;0;1,70000004768372;0;158,665483862559;0;1;0;0;0;0;1;0;0;0;87,8933072908719
