Date;Datum;RAU006.RAUM_TE.MS;RAU006.RAUM_FE.MS;RAU006_LI_JAL.read_JAL1_IW;RAU006_LI_JAL.read_JAL1_L_IW;RAU006_LI_JAL.read_JAL2_IW;RAU006_LI_JAL.read_JAL2_L_IW;RAU006_VR.HKKRS_TV.MS;RAU006_VR.HKKRS_TR.MS;RAU006_VR.BerLeistung;RAU007.RAUM_TE.MS;RAU007.RAUM_FE.MS;RAU007_LI_JAL.read_JAL1_IW;RAU007_LI_JAL.read_JAL1_L_IW;RAU007_LI_JAL.read_JAL2_IW;RAU007_LI_JAL.read_JAL2_L_IW;RAU007_VR.HKKRS_TV.MS;RAU007_VR.HKKRS_TR.MS;RAU007_VR.BerLeistung;MSR02_WST_ALLG.WindgeschwKmh;MSR02_WST_ALLG.akt_rel_LuftFeuchte;MSR02_WST_ALLG.akt_abs_LuftDruck;MSR02_WST_ALLG.akt_WindRichtung;MSR02_WST_ALLG.akt_Niederschlagsart;MSR02_WST_ALLG.akt_Lufttemperatur;MSR02_WST_ALLG.akt_Taupunkt;MSR02_WST_RAZON_PLUS.read_IV_IRR_DIFFUSE;MSR02_WST_RAZON_PLUS.read_IV_IRR_DIRECT;MSR02_WST_RAZON_PLUS.read_IV_IRR_GLOBAL;JA.T06.Verschattung1;JA.T06.Verschattung2;JA.T06.VerschattungSUMMIERT;JA.T06.Verschattung.Zuordnung;JA.T07.Verschattung1;JA.T07.Verschattung2;JA.T07.VerschattungSUMMIERT;JA.T07.Verschattung.Zuordnung
45823,04167;2025-06-15 01:00:00;24,08978545;51,33213294;0;0;0;0;23,1;23,43;0;23,79680776;50,67293313;0;0;0;0;22,42;22,67;0;0;74,5;966,2999878;0;0;19,70000076;15;0;0;0;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45823,08333;2025-06-15 02:00:00;24,11420026;51,08798486;0;0;0;0;23,26;23,6;0;23,78460036;50,50202948;0;0;0;0;22,71;22,92;0;1,08;76,19999695;966,2000122;64,30000305;0;19,20000076;14,89999962;0;0;0;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45823,125;2025-06-15 03:00:00;24,11420026;50,84383679;0;0;0;0;23,43;23,73;0;23,72356334;50,33112583;0;0;0;0;22,95;23,12;0;1,44;77;965,9000244;5,400000095;0;18,39999962;14,30000019;0;0;0;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45823,16667;2025-06-15 04:00:00;24,11420026;50,62410352;0;0;0;0;23,53;23,82;0;23,72356334;50,18463698;0;0;0;0;23,14;23,26;0;7,92;65,5;965,9000244;158,6999969;0;20,10000038;13,5;1;0;1;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45823,20833;2025-06-15 05:00:00;24,12640767;50,40437025;0;0;0;0;23,64;23,9;0;23,71135594;49,96185186;0;0;0;0;23,28;23,39;0;10,44;65,40000153;966;194,3000031;0;20;13,30000019;32,40000153;0;32,40000153;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45823,25;2025-06-15 06:00:00;24,18744469;50,18463698;0;0;0;0;23,71;23,98;0;23,76018555;49,7665334;0;0;0;0;23,4;23,49;0;3,96;64,90000153;965,9000244;151,1000061;0;20,70000076;13,80000019;148,8000031;167,3999939;193,1999969;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45823,29167;2025-06-15 07:00:00;24,37055574;49,74211859;0;0;0;0;23,81;24,04;0;24,05316324;49,32706687;0;0;0;0;23,49;23,56;0;9;59,29999924;965,7999878;160,3000031;0;22,29999924;13,89999962;245,8999939;250,8999939;352,7999878;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45823,33333;2025-06-15 08:00:00;24,8710593;48,74111148;0;0;0;0;23,89;24,11;0;24,57808161;48,32605976;0;0;0;0;23,59;23,63;0;4,68;55,90000153;965,7999878;171,1999969;0;23,39999962;14,10000038;204,3999939;185,6000061;311,6000061;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45823,375;2025-06-15 09:00:00;25,51957762;47,71568957;0;0;0;0;23,98;24,2;0;25,20218513;47,34946745;0;0;0;0;23,67;23,7;0;5,4;48,70000076;965,4000244;112,6999969;0;26,10000038;14,39999962;349;240;519,9000244;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45823,41667;2025-06-15 10:00:00;26,21539964;46,64143803;0;0;0;0;24,07;24,3;0;25,81255531;46,29963073;0;0;0;0;23,79;23,79;0;8,28;42,79999924;964,5999756;172,6999969;0;28,60000038;14,69999981;150,8000031;663,7000122;691,0999756;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45823,45833;2025-06-15 11:00:00;26,82576983;45,71367534;0;0;0;0;24,21;24,42;0;26,43513291;45,51835688;0;0;0;0;23,91;23,92;0;0;36,29999924;964;0;0;30,89999962;14,30000019;145,5;751,7000122;809,4000244;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45823,5;2025-06-15 12:00:00;27,14316233;45,22537919;0;0;0;0;24,37;24,57;0;26,7159032;44,83474227;0;0;0;0;24,07;24,07;0;0;30,29999924;963,5;0;0;32,90000153;13,19999981;143;770,2999878;844,5999756;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45823,54167;2025-06-15 13:00:00;27,10654012;45,17654958;0;0;0;0;24,53;24,75;0;26,70369579;44,78591266;0;0;0;0;24,22;24,21;0;2,88;26,10000038;962,7999878;216;0;33,90000153;11,69999981;149,8999939;742,5999756;816,0999756;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45823,58333;2025-06-15 14:00:00;27,02108829;45,22537919;0;0;0;0;24,72;24,91;0;26,60603656;44,9324015;0;0;0;0;24,39;24,37;0;16,2;33,20000076;962,2999878;272,8999939;0;32,79999924;14,5;176,6000061;633,5999756;709,4000244;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45823,625;2025-06-15 15:00:00;26,89901425;45,249794;0;0;0;0;24,87;25,07;0;26,44734031;44,9324015;0;0;0;0;24,55;24,51;0;5,04;36,90000153;962,0999756;267,1000061;0;32,09999847;15,60000038;282,3999939;500,1000061;657,4000244;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45823,66667;2025-06-15 16:00:00;26,7281106;45,46952727;0;0;0;0;25,01;25,22;0;26,34968108;45,10330515;0;0;0;0;24,67;24,64;0;5,04;41,09999847;961,9000244;267;0;30,79999924;16;190,6000061;65,80000305;231,8000031;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45823,70833;2025-06-15 17:00:00;26,52058473;45,71367534;0;0;0;0;25,14;25,34;0;26,11774041;45,44511246;0;0;0;0;24,76;24,75;0;1,44;61,20000076;962,7000122;144,8999939;60;25,89999962;17,79999924;29;0;29;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45823,75;2025-06-15 18:00:00;26,31305887;45,93340861;0;0;0;0;25,23;25,43;0;25,98345897;45,59160131;0;0;0;0;24,87;24,83;0;2,52;66,5;963,5999756;248,6000061;60;24,20000076;17,60000038;2;0;2;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45823,79167;2025-06-15 19:00:00;26,16657002;46,12872707;0;0;0;0;25,32;25,5;0;25,7515183;46,03106784;0;0;0;0;24,92;24,89;0;4,68;74,69999695;964,7000122;173,8000031;60;20,10000038;15,39999962;1;0;1;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45823,83333;2025-06-15 20:00:00;26,04449599;46,42170476;0;0;0;0;25,37;25,57;0;25,61723685;46,2263863;0;0;0;0;24,97;24,93;0;2,88;87,30000305;966,5999756;103;60;19;16,79999924;0;0;0;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45823,875;2025-06-15 21:00:00;25,95904416;46,59260842;0;0;0;0;25,42;25,61;0;25,56840724;46,2019715;0;0;0;0;25,01;24,96;0;1,44;90,90000153;967,2999878;186,3000031;60;18,60000038;17;0;0;0;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45823,91667;2025-06-15 22:00:00;25,81255531;46,66585284;0;0;0;0;25,45;25,64;0;25,36088137;46,59260842;0;0;0;0;25,02;24,98;0;5,76;89;968,0999756;106,3000031;60;18,5;16,60000038;0;0;0;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45823,95833;2025-06-15 23:00:00;25,7515183;46,78792688;0;0;0;0;25,47;25,66;0;25,23880734;46,69026765;0;0;0;0;25,03;24,98;0;7,56;92,80000305;968,5999756;172,8999939;60;17,70000076;16,5;0;0;0;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45824;2025-06-16 00:00:00;25,56840724;46,95883053;0;0;0;0;25,48;25,66;0;25,08011109;46,93441572;0;0;0;0;25,02;24,97;0;4,68;91,69999695;968,2999878;204,6999969;60;17,60000038;16,20000076;0;0;0;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45824,04167;2025-06-16 01:00:00;25,4463332;46,88558611;0;0;0;0;25,45;25,62;0;24,96871853;47,03207495;0;0;0;0;25;24,93;0;1,44;91,69999695;968,0999756;154,3999939;60;17,70000076;16,29999924;0;0;0;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45824,08333;2025-06-16 02:00:00;25,29984436;46,8611713;0;0;0;0;25,39;25,57;0;24,85885189;47,10531938;0;0;0;0;24,96;24,89;0;2,16;93,30000305;967,7999878;114,3000031;60;17,29999924;16,29999924;0;0;0;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45824,125;2025-06-16 03:00:00;25,22659993;46,88558611;0;0;0;0;25,34;25,5;0;24,72457045;47,15414899;0;0;0;0;24,91;24,84;0;3,96;93,69999695;967,5999756;276,2999878;0;17;16;0;0;0;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45824,16667;2025-06-16 04:00:00;25,09231849;46,8611713;0;0;0;0;25,27;25,42;0;24,62691122;47,22739341;0;0;0;0;24,85;24,76;0;0;92,40000153;967,7999878;0;0;17,10000038;15,80000019;0;0;0;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45824,20833;2025-06-16 05:00:00;24,39497055;47,86217841;0;0;0;0;18,26;19,04;116,1734879;24,13861507;47,86217841;0;0;0;0;14,62;15,6;626,4715896;0;94,19999695;968,2999878;0;0;16,89999962;16;12;0;12;0;0;0;A - geöffnet;0;0;0;A - geöffnet
45824,25;2025-06-16 06:00:00;23,95550401;49,96185186;99;100;99;100;18,17;18,87;78,96379935;23,50383007;49,71770379;99;100;99;100;14,89;15,3;95,6586045;6,12;88,09999847;968,9000244;109,0999985;0;17,20000076;15,19999981;24,39999962;0;24,39999962;0,99;0,99;0,99;C - geschlossen;0,99;0,99;0,99;C - geschlossen
45824,29167;2025-06-16 07:00:00;23,9188818;49,83977783;99;100;99;100;18,36;18,88;61,99529896;23,34513382;49,71770379;98;0;98;0;15,13;15,41;142,7039445;1,8;83,19999695;970,0999756;88,30000305;0;16;13,10000038;149,6999969;0;149,6999969;0,99;0,99;0,99;C - geschlossen;0;0;0;A - geöffnet
45824,33333;2025-06-16 08:00:00;23,79680776;49,59562975;99;100;99;100;18,26;18,79;63,18751625;23,29630421;49,32706687;99;100;99;100;15,05;15,34;131,0963974;3,24;79,59999847;971,2000122;58,59999847;0;16,29999924;12,69999981;111,1999969;0;111,1999969;0,99;0,99;0,99;C - geschlossen;0,99;0,99;0,99;C - geschlossen
45824,375;2025-06-16 09:00:00;23,61369671;49,03408918;99;100;99;100;18,39;18,88;38,56134785;23,13760796;48,64345225;98;0;98;0;14,94;15,18;31,55649125;5,04;74;971,7000122;248,5;0;16,5;11,80000019;168,6000061;0;168,6000061;0,99;0,99;0,99;C - geschlossen;0;0;0;A - geöffnet
