Date;Datum;RAU006_LI_JAL.read_BM_BE_ME;RAU005_LI_JAL.read_BM_BE_ME;RAU007_LI_JAL.read_BM_BE_ME;RAU008_LI_JAL.read_BM_BE_ME;RAU009_LI_JAL.read_BM_BE_ME
45823;2025-06-15 00:00:00;0;0;0;0;0
45823,01042;2025-06-15 00:15:00;0;0;0;0;0
45823,02083;2025-06-15 00:30:00;0;0;0;0;0
45823,03125;2025-06-15 00:45:00;0;0;0;0;0
45823,04167;2025-06-15 01:00:00;0;0;0;0;0
45823,05208;2025-06-15 01:15:00;0;0;0;0;0
45823,0625;2025-06-15 01:30:00;0;0;0;0;0
45823,07292;2025-06-15 01:45:00;0;0;0;0;0
45823,08333;2025-06-15 02:00:00;0;0;0;0;0
45823,09375;2025-06-15 02:15:00;0;0;0;0;0
45823,10417;2025-06-15 02:30:00;0;0;0;0;0
45823,11458;2025-06-15 02:45:00;0;0;0;0;0
45823,125;2025-06-15 03:00:00;0;0;0;0;0
45823,13542;2025-06-15 03:15:00;0;0;0;0;0
45823,14583;2025-06-15 03:30:00;0;0;0;0;0
45823,15625;2025-06-15 03:45:00;0;0;0;0;0
45823,16667;2025-06-15 04:00:00;0;0;0;0;0
45823,17708;2025-06-15 04:15:00;0;0;0;0;0
45823,1875;2025-06-15 04:30:00;0;0;0;0;0
45823,19792;2025-06-15 04:45:00;0;0;0;0;0
45823,20833;2025-06-15 05:00:00;0;0;0;0;0
45823,21875;2025-06-15 05:15:00;0;0;0;0;0
45823,22917;2025-06-15 05:30:00;0;0;0;0;0
45823,23958;2025-06-15 05:45:00;0;0;0;0;0
45823,25;2025-06-15 06:00:00;0;0;0;0;0
45823,26042;2025-06-15 06:15:00;0;0;0;0;0
45823,27083;2025-06-15 06:30:00;0;0;0;0;0
45823,28125;2025-06-15 06:45:00;0;0;0;0;0
45823,29167;2025-06-15 07:00:00;0;0;0;0;0
45823,30208;2025-06-15 07:15:00;0;0;0;0;0
45823,3125;2025-06-15 07:30:00;0;0;0;0;0
45823,32292;2025-06-15 07:45:00;0;0;0;0;0
45823,33333;2025-06-15 08:00:00;0;0;0;0;0
45823,34375;2025-06-15 08:15:00;0;0;0;0;0
45823,35417;2025-06-15 08:30:00;0;0;0;0;0
45823,36458;2025-06-15 08:45:00;0;0;0;0;0
45823,375;2025-06-15 09:00:00;0;0;0;0;0
45823,38542;2025-06-15 09:15:00;1;0;0;0;0
45823,39583;2025-06-15 09:30:00;1;0;0;0;0
45823,40625;2025-06-15 09:45:00;1;0;0;0;0
45823,41667;2025-06-15 10:00:00;1;0;0;0;0
